restaurant_name,location,status,rating,full address,cusine,fssai
NuTy,Arekere,Closed,--,"NuTy, No.131/14/2, 9 th main Road, G.B palya main Road , Hongasandra, Bangalore - 560068",Indian,License No. 21219192001911
BIB - English Breakfast in The Box,Arekere,-- MINS,4.2,"BIB - English Breakfast in The Box, #52, 1st floor, 3rd Cross, omkar Nagar ,Arkere Gate Bannerghata Rd Bangalore 76",American,License No. 21218009000344
BLUE WATER HOSPITALITY SERVICES,Arekere,Closed,4.0,"BLUE WATER HOSPITALITY SERVICES, Blue waters Lounge Bar & fine Dining #4 Bannergatta Main Road, Next to Star Market, Gottigere, Bangalore.","Chinese,South Indian,North Indian,Desserts,Kerala,Beverages,Seafood,Punjabi,Hyderabadi",License No. 11219334000122
Cream Factory,Arekere,Closed,4.2,"Cream Factory, Sri Dharma, #5,6,7 Yelenahalli Main road, Akshaya Nagar, Bangalore-560068",Desserts,Applied for license
Amooga Restaurant,Arekere,Closed,--,"Amooga Restaurant, NO 990 VIJAYA BANK LAYOUT BILEKAHALLI","North Indian,Chinese",License No. 11219334000080
AAMI KOLKATA,Arekere,Closed,--,"AAMI KOLKATA, no.48 Sai Janani Building, 1 st main , MeenakshiLayout, Kalena Agrahara, Bannerghutta Road,Bangalo, Bangalore South, Bangalore Urban(Karnataka), - 560076",Fast Food,License No. 21219010001263
Lazzet Lee,Arekere,Closed,4.0,"Lazzet Lee, #31, koppa Road,  Yelenahalli, Begur  Bangalore - 560076","North Indian,Mughlai,Biryani,Tandoor ,indian",License No. 21218192001726
Nuty,Arekere,Closed,--,"Nuty, Ice and Spice no  27, 4 th main Road . NS palya , BG Road , Bangalore",Indian,Applied for license
Punjabi Nawabi,Arekere,Closed,3.9,"Punjabi Nawabi, Site-9, 1st Floor, SBI Building (Back Side), Near DLF New Town, Opp. Ample Mart, (Gokul Nest), Bengaluru- 560114","Punjabi,North Indian,Chinese,Biryani,Indian",License No. 11218334001903
Howlin wolf,Arekere,Closed,--,"Howlin wolf, 147,ground floor,munieswara layout,devarachikkanahalli main road,btm 4th stage,bangalore-560076","South Indian,North Indian,Chinese,Kerala,Beverages",License No. 21219192000574
Sweet Chariot,Arekere,Closed,3.9,"Sweet Chariot, NO 2 PRAVEEN COMPLEX MICO ROAD AREKERE GATE BANGALORE","Bakery,Desserts",License No. 11215333001530
ANDHRA ADDA RESTAURANT,Arekere,Closed,--,"ANDHRA ADDA RESTAURANT, NO.47/1, JAGADEESH BUILDING, 80 FT ROAD, SHANTHINIKETHAN LAYOUT, AREKERE, B.G ROAD, BANGALORE., District - B.B.M.P South, STATE - Karnataka - 560076",Indian,License No. 11219334001241
World on a Swirl,Arekere,Closed,4.3,"World on a Swirl, Madheswara Swami Nilaya Building, No. 1/2, First Floor, Akshayanagar, DLF main road, Yelenahalli, Bangalore 560068","Ice Cream,Desserts,Beverages,Bakery,Fast Food",Applied for license
London shakes,Arekere,Closed,--,"London shakes, No.1, 17/18, Kothanur Dinne Main Road, Nrupathunga Nagar, Jp Nagar 7th Phase, Bangalore (Near Corporation Bank)","Beverages,Juices",License No. 21219194001299
GOWDRU MANE HOTEL,Arekere,Closed,--,"GOWDRU MANE HOTEL, No-136, Annapurna, Kothnur Main Road, Gottigere, B G Road, Bangalore, District - B.B.M.P South, STATE - Karnataka","Indian,Fast Food",License No. 11218334001770
Juices and Snacks Junction,Arekere,Closed,--,"Juices and Snacks Junction, SRI KRISHNA GRAND 44 Ramachandra Arcade, Manipal County Rd, Duo City Layout, Singasandra, Bengaluru, Karnataka 560068","North Indian,South Indian",License No. 11219334001874
Natural Ice Cream,Arekere,Closed,4.6,"Natural Ice Cream, #31, Pandurangnagar, 60 Feet Road, Adjacent to Adigas Hotel, Bangalore - 560 076",Ice Cream,License No. 11216334000351
Sri Bhagya Grand,Arekere,-- MINS,4.0,"Sri Bhagya Grand, 1065/A, 5th Cross, 13th Main, Vijayabank Layout, Kodichickanahalli Road, Bengaluru, 560076","South Indian,North Indian,Chinese,Desserts,Jain,Ice Cream,Fast Food,Beverages",License No. 11218334001574
California Burrito,Arekere,Closed,4.3,"California Burrito, 19, Jalaram Estate, Arekere, Bannerghatta Road, Bengaluru, Karnataka 560076",Mexican,Applied for license
HodgePodge Resto Cafe,Arekere,Closed,--,"HodgePodge Resto Cafe, 948E 8th main 5th cross Vijaya Bank Colony Next to cafe coffee day Bilekahalli Bangalore 560076","Snacks,Beverages",License No. 21219194000011
Hyderabad Biryaani House,Arekere,Closed,4.0,"Hyderabad Biryaani House, A-2, 148-1, Arekere Gate, Next To HSBC, Opp. Reliance Mart, Bannerghatta Road, Bangalore","North Indian,Chinese,Hyderabadi,Biryani,Andhra",Applied for license
House Of Candy,Arekere,Closed,--,"House Of Candy, No. 172/1, Vega City Mall, 3rd Floor Food Court, Srinivas Industrial Estate, Bengaluru, Karnataka 560076",Desserts,License No. 21219192000371
Best bowl,Arekere,Closed,--,"Best bowl, NO.69, UTTARAHALLI HOBLI, KOTHANOOR, BANGALORE-560078, District - B.B.M.P South, STATE - Karnataka",Indian,License No. 21219193001326
Choptstick Chopsee Restaurant,Arekere,Closed,--,"Choptstick Chopsee Restaurant, 1654, Begur Main Rd, Vishwapriya Nagar, Begur, Bengaluru, Karnataka 560068","Chinese,North Indian,Desserts,Fast Food,Kerala,Mughlai,Seafood,Hyderabadi",License No. 21219011000186
DUMONT,Arekere,Closed,--,"DUMONT, No53, 2nd Cross, Shanbagh, NAGAPPA LAYOUT, BILEKAHALI, bangalore","Beverages,Ice Cream,Desserts",License No. 11219334001697
Spurthi Foods,Arekere,Closed,4.2,"Spurthi Foods, Address: #23, SVR Avenue, Sagar Layout,  Devarachikkanahalli Main road, Bangalore, 560076.",Andhra,License No. 21218194000623
Spice Theory,Arekere,Closed,--,"Spice Theory, 990, 1st Floor, Bhanu Arcade, Vijaya Bank Layout, BTM 4th Stage, Bengaluru, Karnataka 560076",Indian,License No. 11219334000080
Vijayashree,Arekere,Closed,4.2,"Vijayashree, Krishna Vijayashree Hotel, Behind Hotel Krishna Kuteera, Avani Shringeri Nagar, Nayapanahalli Road, Hulimavu, Bengaluru - 560076","Andhra,Biryani,Chinese,North Indian,South Indian",License No. 11218334000577
Kumarakom,Arekere,Closed,3.9,"Kumarakom, No. 23/1,Bannerghatta Road, Arekere Village, Begur Hobli, Bangalore","South Indian,Kerala",Applied for license
"SM- PADDU, IDLY AND SNACKS SHOP",Arekere,Closed,--,"SM- PADDU, IDLY AND SNACKS SHOP, NO;6, 115/1B, MANIPAL COUNTY ROAD, SINGASANDRA, CHIKKA BEGUR POST, BANGALORE -560068",South Indian,License No. 30191024172057
Veruthe Oru Thattukada,Arekere,-- MINS,3.9,"Veruthe Oru Thattukada, opp DLF new town. Akshya Nagar. Hulimavu Road. Blr.560068","Biryani,Seafood,South Indian",License No. 11219334000261
Biryani Mahal,Arekere,Closed,--,"Biryani Mahal, Arekere, Bengaluru, Karnataka, India","Biryani,Juices,South Indian",License No. 21219194001623
Five Star Chicken Bilekahalli,Arekere,Closed,4.1,"Five Star Chicken Bilekahalli, 116/1- bilekahalli, five star chicken, vijaya bank layout, Btm 4th stage",Fast Food,License No. 21219010002207
Sankranthi Veg Restaurant,Arekere,Closed,--,"Sankranthi Veg Restaurant, #986, Vijaya bank layout, Btm 4th stage, Bangalore 560076","South Indian,North Indian,Desserts,Fast Food",License No. 11218334001955
Aramane Naati Restaurant,Arekere,Closed,--,"Aramane Naati Restaurant, 154/10 adjacent to Fortis Hospital, Bannerghatta Main Road, Bangalore 560076","Mangalorean,South Indian,Biryani",License No. 11219334000626
Garma Garam,Arekere,Closed,3.9,"Garma Garam, Arekere, MICO Layout Main Road, Opp Vijaya Bank, Bannerghatta Road, Bangalore - 560076","Beverages,Biryani,Chinese,Desserts,Ice Cream,Healthy Food,Mughlai,North Indian",License No. 11219334000855
Apsara Ice Creams,Arekere,Closed,4.5,"Apsara Ice Creams, No. 1065 B, 5th Cross, Vijaya Bank Layout, Bannerghatta Road, Bangalore 560076","Ice Cream,Desserts",License No. 21219192000563
Mist n Creams,Arekere,Closed,--,"Mist n Creams, ROYAL MEENAKSHI MALL, 4TH FLOOR, Bannerghatta Road Bangalore - 560076","Ice Cream,Desserts",License No. 11217333001603
Tumkur Tatte Idlis,Arekere,Closed,--,"Tumkur Tatte Idlis, No.9,Ground Floor,1st Main,Vijayashree Layout,Bannerghatta Road,Bangalore-560076",South Indian,License No. 21219010001879
Magic Munch,Arekere,Closed,3.6,"Magic Munch, Shop No 2,jeevan asha,panduranganagar,bilekahalli,b g road,bangalore",Fast Food,Applied for license
Pink Salt Cafe,Arekere,Closed,--,"Pink Salt Cafe, 3, Sarvabhoumanagar Sundar Ram Shetty Nagar Behind HSBC next to IIMB compound Bilekahalli Bangalore 560076","Fast Food,Beverages",License No. 21219194000647
Millet Gate,Arekere,Closed,--,"Millet Gate, No.9,	Ground	Floor,1st	Main,	,	Vijayashree Layout,	Bannerghatta	Road,	Bangalore	-	560076",South Indian,License No. 21219010001879
Ammulus,Arekere,-- MINS,--,"Ammulus, Shop No. 9, 1st Floor, KSV Complex 1/A, 34/4, D. C. Halli Main Road, Bengaluru - 560 076",South Indian,License No. 21219192002095
Writzkitchen,Arekere,Closed,--,"Writzkitchen, 510/1 adi bhyrava layout, venugopal reddy lane, arekere, Bengaluru, Karnataka-560076",Fast Food,License No. 21218195000939
Shri Sai sugar cane Juice,Arekere,-- MINS,--,"Shri Sai sugar cane Juice, 80ft road next to Saibaba temple , Arekere ,Bannerghatta Road Bangalore -560076",Juices,License No. 21219194001273
Pot Biryani,Arekere,Closed,3.7,"Pot Biryani, 7, Hulimavu Begur Main Road, Near DLF, Akshya Nagar, Yelenahalli Village, Bannerghatta Road, Bangalore","North Indian,Chinese,Biryani",License No. 21219192000224
Food Affair,Arekere,Closed,--,"Food Affair, 989, 2nd Floor, Sri Ambika Corner, 11th main, DC road, Vijaya Bank Layout, BTM 4th Stage, Bangalore - 560076","North Indian,Tandoor ,indian,,Chinese,Desserts,Beverages,Juices",License No. 11219334002266
Q GRILL,Arekere,Closed,--,"Q GRILL, NO.03,VASTU NAGAR,CHIKKATHOGUR ROAD,ELECTRONIC CITY,BENGALURU,BANGALORE,KARNATAKA-560100","Grill,Tandoor ,indian",License No. 11219302000373
Paratha Junction,Arekere,-- MINS,3.9,"Paratha Junction, #520, Opposite Vijaya Bank, 1st Main, Arekere, MICO Layout, Bannerghatta Road, Bangalore - 560076",North Indian,License No. 21219194000960
ChickenWalla,Arekere,Closed,--,"ChickenWalla, No 45, 14th main ,JP nagar 7th phase,Opposite of Samsung Smart Cafe,Puttehahalli Palya,Bangalore 560078","North Indian,South Indian,Desserts,Beverages",Applied for license
Box Magic,Arekere,Closed,--,"Box Magic, 67, Doresani Palya Main Road, Bilekahalli Dakahale, Bannerghatta Road, Bangalore","Chinese,South Indian,North Indian,Continental,American,Desserts,Fast Food,Italian,Kerala,Andhra,Beverages,Seafood,Punjabi,Hyderabadi",License No. 21218192001698
Chef Bakers,Arekere,Closed,3.9,"Chef Bakers, GROUND FLOOR, NO. 267, SHOP NO. 2 10TH MAIN, SHANTHINIKETAN LAYOUT,  80 FEET ROAD,, SAIBABA TEMPLE ROAD ARAKERE, B.G ROAD,, Bengaluru (Bangalore) Urban, Karnataka, 560076",Cafe,License No. 11219334001526
Frozen Bottle,Arekere,Closed,4.2,"Frozen Bottle, NO - TFK 37, 3rd Floor, Royal Meenakshi Mall, Bengaluru -  560076","Beverages,Ice Cream,Desserts",Applied for license
Adiga's Sweets & Snacks,Arekere,-- MINS,--,"Adiga's Sweets & Snacks, vasudev adiga's near Arekere, Bengaluru, Karnataka, India","Snacks,Sweets",License No. 11215334000720
Mr. Cane & Indian Desi Momo,Arekere,Closed,3.6,"Mr. Cane & Indian Desi Momo, kaveri nagar 12th main kodichikkanahalli main road bommanahalli Bangalore:- 560068","Indian,Chinese",License No. 21219192002212
Shanghai Court,Arekere,Closed,4.3,"Shanghai Court, No 1035 5th Cross 13th Main Vijaya Bank Layout Kodichikkanahalli Road Opp To Vijaya Enclave Apartment Bangalore 560070","Chinese,Thai",License No. 11217334000469
HomeSe Just Veg,Arekere,Closed,3.8,"HomeSe Just Veg, No. 204, 11th K.M. Stone, Bilekahalli, Bannerghatta Road","South Indian,North Indian,Fast Food",License No. 11215334000720
Desi Corner,Arekere,Closed,--,"Desi Corner, 52, 3rd Cross Road, Arakere Gate, Omkar Nagar, Arekere, Bengaluru, Karnataka, India",Indian,License No. 21219192001710
Ruchi Curries and Pickles,Arekere,Closed,3.2,"Ruchi Curries and Pickles, Visweswarayya Road Nynapanahalli BTM 6th Stage Bannerghatta Road","North Indian,South Indian,Chinese,Fast Food",License No. 21218192001750
Waffle in the box,Arekere,Closed,--,"Waffle in the box, NO: 52, 1ST FLOOR, 3RD CROSS, OMKAR NAGAR, ARKERE GATE, NEAR RELIANCE STORE, NEXT TO DRUNKEN MONKEY, District - Bangalore Urban, STATE - Karnataka",Indian,License No. 21218009000344
,Arekere,Closed,--,", BDA 80 Feet Road,Opposite Bharat Petrolpump, BTM 6th Stage ,Bangalore-560076",North Indian,License No. 21218192001650
SRI SAI 99 VARIETY DOSA,Arekere,Closed,4.1,"SRI SAI 99 VARIETY DOSA, 81/4 cave temple road opp to royal menkashi mall be road hullmavu bangalore 560076",Healthy Food,License No. 21218194001019
Halli Hatti Donne Biryani,Arekere,Closed,--,"Halli Hatti Donne Biryani, SITE NO.02, 1ST FLOOR, SY NO.33/2, BOMMANAHALLI, DEVARACHIKKANAHALLI ROAD, BANGALORE., District - B.B.M.P South, STATE - Karnataka,Pincode-560068",Beverages,License No. 21219193001192
Deejas Kitchen,Arekere,Closed,--,"Deejas Kitchen, TF 309, Sai Nandana Presidency,5th main, 11th cross, behind Kaveramman Temple, Vijaya Bank Layout, Bilekahalli, Bangalore 76","Kerala,South Indian",License No. 21218194000726
Magic oven,Arekere,Closed,--,"Magic oven, 121/1abhinandana complex  hosur road  singasandra bangalore-68","Indian,Beverages",License No. 11216334000298
Indiana Burgers,Arekere,Closed,4.0,"Indiana Burgers, 6D, 3rd Floor, Aishwarya Arcade, Hanuman Nagar, BTM Layout, Sir M Vishveshwaraya Road, Opp Nano Hospital, Arekere, Bangalore","Beverages,Fast Food",Applied for license
Chaat Central,Arekere,Closed,--,"Chaat Central, No 424/376/487 , Royal Meenakshi Mall Food Court No-3 ,Arakere Bannerghatta Road, Hulimavu,BBMP,Bangalore 560 076",North Indian,License No. 11218334002338
DOOF,Arekere,Closed,4.0,"DOOF, #20, 4th cross, Sri Raghvendra Swamy Orchards layout , Basapura Main road , Bangalore 560100",Continental,License No. 21219010000354
ABHIRUCHI HOTELS,Arekere,Closed,3.9,"ABHIRUCHI HOTELS, 81/3, OPP. ROYAL MEENAKSHI MALL, CAVE TEMPLE ROAD, HULIMAVU, BENGALURU - 560076","North Indian,South Indian,Chinese,Fast Food",License No. 11218334001217
RoadRunner,Arekere,-- MINS,3.9,"RoadRunner, #1434/86/2, Krishna Reddy Layout,  behind Krishna reddy house, government hospital road,  arakere, Bannerghatta Road, Bangalore 560076 ","Continental,Pizzas,Italian,Indian",License No. 21219194001133
Dadi's Dum Biryani,Arekere,Closed,4.3,"Dadi's Dum Biryani, No.7, Krish towers, 2nd Floor, Opp. Rose garden aprt, Arekere gate, Bannergatta main road-560079","Biryani,North Indian,Mughlai",License No. 11219334000161
GoodLuck Resto Cafe,Arekere,Closed,3.4,"GoodLuck Resto Cafe, No.7,RR commercial complex,DLF new town road,Akshaynagar,Bangalore-560076","Continental,Desserts,Fast Food,Italian,Mexican,Beverages,Pan-Asian",License No. 21219194001795
Iyengars's Cakes n Cookies,Arekere,-- MINS,3.5,"Iyengars's Cakes n Cookies, Shop 3 NGR Complex Arekere Main Road B.G.Road Bangalore 560076",Desserts,License No. 21218192001283
THE WOOD ROSE CLUB(A U OF BRIGADE HOSP),Arekere,Closed,--,"THE WOOD ROSE CLUB(A U OF BRIGADE HOSP), WOODROSE CLUB, BRIGADE MILLENNIUM 17TH MAIN ROAD, J.P NAGAR 7TH PHASE, BANGALORE., District - B.B.M.P South, STATE - Karnataka","Indian,Chinese,Italian",License No. 11215334000302
Bhides Snacks,Arekere,Closed,--,"Bhides Snacks, 24,doddakammanahalli main rd, kalena agrahara, doddakamanahalli main rd, bengaluru,karnataka 560076",South Indian,License No. 21219192000593
Wangs Kitchen,Arekere,Closed,3.1,"Wangs Kitchen, (CA1) Brigade Millenium Rd, Nataraja Layout,Silver Oak Layout, JP Nagar 7th Phase, Arekere,Bengaluru-560078",Chinese,License No. 11200000000000
 Lo! - Low Carb and Keto Foods,Arekere,Closed,3.6," Lo! - Low Carb and Keto Foods, Adda the restaurant, 35/4, adjacent to Golden Park Apartment, Devarachikkanahalli Main Road, Hongasandra, SR Naidu Layout, Hongasandra, Bengaluru, Karnataka 560076","Keto,Healthy Food,Indian",License No. 11219334000249
Krishna Vijayashree,Arekere,Closed,4.4,"Krishna Vijayashree, #70/71, Seetharam complex, opposite IIMB,Bilekahalli, Bannerghatta Rd,Bangalore, 76","Mughlai,North Indian,Coastal,Chinese,Tandoor ,indian",License No. 21219010000838
Mane oota,Arekere,Closed,4.0,"Mane oota, No 82 4th main 4th Cross Arekere Mico Layout NearBus stop Bannerghatta Road Bangalore , BTM Layout,B.B.M.P South (Karnataka), - 560076",South Indian,License No. 21219194000512
Tasty Point,Arekere,Closed,4.3,"Tasty Point, 5, Vishweshwaraiah road, near Sai Baba temple, Arekere. Bangalore 76","Snacks,Fast Food",License No. 21218010001626
SHIVU CANE JUICE,Arekere,Closed,--,"SHIVU CANE JUICE, no shop no 2,9th main road,sangam circle,hongasandra road,grave bhavi palya",Beverages,Applied for license
Gundappa Donne Biryani,Arekere,Closed,3.4,"Gundappa Donne Biryani, No. 23/1,Bannerghatta Road, Arekere Village, Begur Hobli, Bangalore",Biryani,Applied for license
Malabar eats,Arekere,Closed,--,"Malabar eats, SITE NO.15, ARAKERE, B.G. ROAD, BANGALORE, District - B.B.M.P South, STATE - Karnataka - 560076","Beverages,Indian",License No. 11219334001422
Wandercrust,Arekere,Closed,3.0,"Wandercrust, Freshmenu #23/24, Ground floor,  2nd Cross, Arkere main road, Bannerghatta road, Bangalore 560076.","Pizzas,Italian",License No. 11217334000966
Yumme Veg,Arekere,Closed,4.0,"Yumme Veg, Shop no 3 &4, #108, 4th Main, 3rd Cross, Arekere Mico Layout, Bangalore 76","Beverages,Desserts,American,Fast Food",License No. 21219192002123
Burger It Up,Arekere,Closed,4.3,"Burger It Up, 6D, 3rd Floor, Aishwarya Arcade, Hanuman Nagar, BTM Layout, Sir M Vishveshwaraya Road, Opp Nano Hospital, Arekere, Bangalore, 560076.","Continental,American,Fast Food,Beverages,Desserts",License No. 11219334001621
Goli Vada Pav No. 1,Arekere,Closed,--,"Goli Vada Pav No. 1, SHOP #1,#30,SANTHRUPTHI NAGAR, 2 ND MAIN ,KOTHNUR MAIN ROAD,JPNAGAR 7 TH PHASE, BANGALORE-560078","Maharashtrian,North Indian,Fast Food,Street Food",License No. 21218010001335
The Good Bowl,Arekere,Closed,4.0,"The Good Bowl, No 161,161 A,166, First floor,Vinayaka Nagar,A,KARNATAKA","North Indian,Biryani,Asian,Pastas,Desserts",License No. 11218334000189
The Hunger Room,Arekere,Closed,--,"The Hunger Room, 45/46, Ajantha Avenue, 1st Floor, Puttenahalli Main Road, JP Nagar 7th Phase, Bengaluru 560078 (Landmark - Brigade Millennium Signal, Above Pizza Hut)","Chinese,Continental,American,Desserts,Fast Food,Italian,Mexican,Beverages,Seafood,Thai",License No. 21218193000817
LunchBox,Arekere,-- MINS,4.0,"LunchBox, No. 161, 161 A, 166, First Floor, Vinayaka Nagar, Arekere Main Road, Bannerghatta Road, Bangalore   560076.","North Indian,Desserts,Biryani",License No. 11218334000189
Chinese Kitchen,Arekere,Closed,--,"Chinese Kitchen, Inside Chatori Gali Food street #669,opp.Elita Apartment, RBl Layout,JP Nagar,7th Phase Bangalore-560078",Chinese,License No. 11218334001125
Taste and Tasty Foods,Arekere,Closed,--,"Taste and Tasty Foods, 81/1, 80 feet road, near Sai baba temple, arakere, Bangalore 560076","Chinese,South Indian,North Indian",License No. 11217334000444
Parisar Veg Restaurant,Arekere,Closed,3.9,"Parisar Veg Restaurant, Yellanahalli Main Road, Opp Ganesh Temple, Akshya Nagar, Bangalore-560114","Chinese,South Indian,North Indian,Fast Food,Punjabi,Hyderabadi",License No. 11218334001784
Shiv Sai hotel,Arekere,Closed,3.9,"Shiv Sai hotel, 15/1BB Complex,Near Hulimavu Police Station,Hulimavu,Bannerghatta Road,Bangalore-560076","North Indian,Desserts,Fast Food",License No. 21219192001923
